State,County/ Congressional District,Veteran Population,Year
Oklahoma,JOHNSTON,937,2011
Oklahoma,BEAVER,376,2011
Oklahoma,HUGHES,1093,2011
Oklahoma,COMANCHE,15975,2011
Oklahoma,ADAIR,1711,2011
Oklahoma,STEPHENS,4734,2011
Oklahoma,CARTER,3785,2011
Oklahoma,GREER,563,2011
Oklahoma,MCINTOSH,2207,2011
Michigan,ALGER,1137,2011
Michigan,MUSKEGON,14438,2011
Michigan,LEELANAU,2295,2011
Michigan,LAPEER,6761,2011
Michigan,SANILAC,3543,2011
Michigan,ISABELLA,3863,2011
Michigan,ONTONAGON,1139,2011
Michigan,TUSCOLA,4614,2011
Michigan,ALCONA,1725,2011
Michigan,IONIA,5108,2011
Michigan,KALKASKA,1626,2011
Michigan,BERRIEN,12217,2011
Michigan,OSCODA,1216,2011
Michigan,WEXFORD,3054,2011
Michigan,CLINTON,4930,2011
Michigan,DICKINSON,2934,2011
Michigan,HURON,2959,2011
Michigan,INGHAM,16342,2011
Oklahoma,MURRAY,1565,2011
Oklahoma,OTTAWA,3023,2011
Oklahoma,WAGONER,6703,2011
Oklahoma,CADDO,2669,2011
Oklahoma,MUSKOGEE,6551,2011
Oklahoma,BRYAN,3721,2011
Oregon,JACKSON,23278,2011
Oregon,GRANT,917,2011
Oregon,CLACKAMAS,31749,2011
Oregon,TILLAMOOK,3028,2011
Oregon,JOSEPHINE,10975,2011
Oregon,UMATILLA,6736,2011
Oregon,COLUMBIA,5749,2011
Oregon,WASCO,2590,2011
Oregon,LANE,32825,2011
Oregon,WASHINGTON,34454,2011
Oregon,CLATSOP,4267,2011
Pennsylvania,CAMERON,566,2011
Pennsylvania,BUCKS,43712,2011
Pennsylvania,LEHIGH,25778,2011
Pennsylvania,CLARION,3502,2011
Pennsylvania,GREENE,3630,2011
Pennsylvania,LUZERNE,30254,2011
Pennsylvania,COLUMBIA,5800,2011
Pennsylvania,JEFFERSON,3993,2011
Pennsylvania,PERRY,4297,2011
Pennsylvania,SULLIVAN,805,2011
Rhode Island,KENT,15066,2011
Rhode Island,WASHINGTON,10922,2011
South Carolina,NEWBERRY,2682,2011
South Carolina,CLARENDON,3049,2011
South Carolina,SUMTER,11798,2011
South Carolina,BARNWELL,1644,2011
South Carolina,DARLINGTON,4762,2011
South Carolina,YORK,16673,2011
South Carolina,CHEROKEE,4038,2011
South Carolina,JASPER,1529,2011
South Carolina,LEE,1256,2011
South Carolina,ABBEVILLE,2019,2011
Texas,SAN JACINTO,2621,2011
Texas,UPSHUR,3624,2011
Texas,WALLER,2405,2011
Texas,WILSON,4857,2011
Texas,HOCKLEY,1300,2011
Texas,MIDLAND,9210,2011
Texas,LLANO,2875,2011
Texas,FANNIN,3547,2011
Texas,BRAZOS,8404,2011
Texas,GAINES,685,2011
Texas,GRAY,1558,2011
Texas,JACK,703,2011
Texas,BOSQUE,2057,2011
Texas,BEXAR,153044,2011
Texas,BAYLOR,376,2011
Texas,DENTON,39581,2011
Texas,GALVESTON,22900,2011
Texas,ROBERTS,34,2011
Texas,UVALDE,1543,2011
Texas,BOWIE,8535,2011
Texas,KENT,63,2011
Texas,SOMERVELL,688,2011
Texas,HARDIN,4519,2011
Texas,LEON,1909,2011
Texas,NEWTON,1502,2011
Texas,REEVES,575,2011
Texas,TRAVIS,53982,2011
Texas,COLLINGSWORTH,236,2011
Texas,ERATH,2537,2011
Texas,MOTLEY,100,2011
Texas,COLEMAN,873,2011
Texas,MEDINA,4319,2011
Texas,HENDERSON,8007,2011
Texas,LAMAR,4074,2011
Texas,KIMBLE,424,2011
Texas,WASHINGTON,2516,2011
Texas,STEPHENS,785,2011
Texas,ANDREWS,817,2011
Texas,GONZALES,1350,2011
Texas,LYNN,268,2011
Texas,ZAPATA,435,2011
Texas,HOOD,6012,2011
Texas,KING,6,2011
Texas,CHEROKEE,3752,2011
Texas,DELTA,505,2011
Texas,JONES,1879,2011
Texas,JIM WELLS,2208,2011
Texas,DALLAM,292,2011
Texas,FORT BEND,25362,2011
Texas,IRION,204,2011
Texas,WILLACY,1069,2011
Texas,DAWSON,573,2011
Texas,BURLESON,1351,2011
Washington,FERRY,972,2011
Washington,DOUGLAS,3186,2011
Washington,PIERCE,88178,2011
Washington,FRANKLIN,3547,2011
Washington,WHATCOM,16111,2011
West Virginia,HAMPSHIRE,1424,2011
West Virginia,DODDRIDGE,847,2011
West Virginia,MARION,4941,2011
West Virginia,HANCOCK,3206,2011
West Virginia,NICHOLAS,2198,2011
West Virginia,TUCKER,700,2011
West Virginia,ROANE,1487,2011
West Virginia,WOOD,8450,2011
West Virginia,MASON,2598,2011
West Virginia,PLEASANTS,846,2011
West Virginia,JEFFERSON,4988,2011
West Virginia,PENDLETON,826,2011
West Virginia,OHIO,3819,2011
West Virginia,CALHOUN,599,2011
West Virginia,RALEIGH,7974,2011
West Virginia,BARBOUR,1224,2011
West Virginia,WAYNE,3954,2011
Wisconsin,WINNEBAGO,13688,2011
Wisconsin,GREEN,2694,2011
Wisconsin,SHAWANO,3901,2011
Wisconsin,LANGLADE,2025,2011
Wisconsin,VERNON,2397,2011
Wisconsin,KEWAUNEE,1807,2011
Wisconsin,EAU CLAIRE,7402,2011
Wisconsin,POLK,3973,2011
Wisconsin,WASHBURN,1800,2011
Wisconsin,WALWORTH,7543,2011
Wisconsin,JUNEAU,2898,2011
Wisconsin,WASHINGTON,9098,2011
Wisconsin,DANE,29786,2011
Wisconsin,DOUGLAS,4134,2011
Wisconsin,IOWA,1660,2011
Wisconsin,PORTAGE,4948,2011
Wisconsin,TAYLOR,1451,2011
Wisconsin,ADAMS,2647,2011
Wisconsin,MONROE,5256,2011
Wisconsin,ASHLAND,1477,2011
Wisconsin,JEFFERSON,6807,2011
Wyoming,CAMPBELL,2671,2011
Wyoming,NATRONA,6256,2011
Wyoming,NIOBRARA,221,2011
Texas,NUECES,28600,2011
Texas,RAINS,1197,2011
Texas,REAL,366,2011
Texas,STERLING,46,2011
Texas,CARSON,513,2011
Texas,FREESTONE,1730,2011
Texas,HARDEMAN,451,2011
Texas,BRISCOE,143,2011
Texas,LIBERTY,5990,2011
Texas,LOVING,0,2011
Texas,ROBERTSON,1292,2011
Texas,RUSK,4523,2011
Texas,TRINITY,1593,2011
Texas,BANDERA,3156,2011
Texas,CHILDRESS,363,2011
Texas,COMAL,12507,2011
Texas,HOUSTON,1908,2011
Texas,NAVARRO,3619,2011
Texas,SCURRY,958,2011
Texas,STONEWALL,117,2011
Texas,BASTROP,7318,2011
Texas,BEE,2558,2011
Texas,CRANE,282,2011
Vermont,RUTLAND,5660,2011
Vermont,ORANGE,2427,2011
Vermont,WINDSOR,5783,2011
Utah,UTAH,17597,2011
Utah,DUCHESNE,1087,2011
Utah,UINTAH,1882,2011
Utah,DAVIS,20272,2011
Utah,EMERY,636,2011
Utah,GARFIELD,502,2011
Virginia,ISLE OF WIGHT,4444,2011
Virginia,FRANKLIN CITY,852,2011
Virginia,CHARLOTTESVILLE CITY,1918,2011
Virginia,HENRICO,22813,2011
Virginia,KING WILLIAM,1347,2011
Virginia,LOUISA,3279,2011
Virginia,MIDDLESEX,1361,2011
Virginia,RICHMOND,616,2011
Michigan,MASON,2982,2011
Michigan,MENOMINEE,2656,2011
Michigan,MONTCALM,5004,2011
Michigan,MISSAUKEE,1346,2011
Michigan,SAINT JOSEPH,4993,2011
Michigan,SAINT CLAIR,13026,2011
Michigan,VAN BUREN,6604,2011
Michigan,WASHTENAW,17362,2011
Michigan,ARENAC,1569,2011
Michigan,BARRY,5275,2011
Michigan,CASS,4493,2011
Michigan,IRON,1456,2011
Michigan,BENZIE,2061,2011
Michigan,ROSCOMMON,3491,2011
Michigan,SCHOOLCRAFT,944,2011
Michigan,WAYNE,114834,2011
Michigan,BRANCH,3517,2011
Michigan,GRAND TRAVERSE,7325,2011
Michigan,JACKSON,13388,2011
Michigan,GENESEE,31456,2011
Michigan,ANTRIM,2645,2011
Michigan,LIVINGSTON,12986,2011
Michigan,IOSCO,3609,2011
Michigan,MANISTEE,2828,2011
Michigan,MONTMORENCY,1349,2011
Michigan,GLADWIN,3073,2011
Michigan,MECOSTA,3456,2011
Michigan,MARQUETTE,6783,2011
Michigan,OSCEOLA,2307,2011
Michigan,OTSEGO,2536,2011
Michigan,CHEBOYGAN,2883,2011
Michigan,LUCE,683,2011
Michigan,MACOMB,59755,2011
Michigan,SHIAWASSEE,5889,2011
Michigan,BARAGA,769,2011
Michigan,CHARLEVOIX,2524,2011
Michigan,EATON,8725,2011
Michigan,GOGEBIC,2073,2011
Michigan,EMMET,2764,2011
Minnesota,MEEKER,2085,2011
Minnesota,PENNINGTON,1162,2011
Virginia,SPOTSYLVANIA,13142,2011
Virginia,CLARKE,1494,2011
Virginia,KING AND QUEEN,652,2011
Virginia,NEW KENT,1798,2011
Virginia,DICKENSON,1171,2011
Virginia,LOUDOUN,19688,2011
Virginia,ROANOKE,9096,2011
Virginia,HIGHLAND,318,2011
Virginia,GLOUCESTER,4683,2011
Virginia,POWHATAN,2658,2011
Virginia,FAUQUIER,6704,2011
Virginia,CHESAPEAKE CITY,26949,2011
Virginia,ALBEMARLE,7023,2011
Virginia,BEDFORD,6841,2011
Virginia,WISE,3220,2011
Virginia,PORTSMOUTH CITY,10438,2011
Virginia,ALLEGHANY,1452,2011
Virginia,GALAX CITY,806,2011
Virginia,NORTHUMBERLAND,1577,2011
Virginia,WARREN,3795,2011
Virginia,FREDERICKSBURG CITY,1856,2011
Virginia,ARLINGTON,13072,2011
Virginia,HOPEWELL CITY,2065,2011
Virginia,FREDERICK,7130,2011
Virginia,YORK,10270,2011
Virginia,NELSON,1468,2011
Virginia,PITTSYLVANIA,5404,2011
Virginia,FALLS CHURCH CITY,717,2011
Virginia,POQUOSON CITY,1359,2011
Virginia,WAYNESBORO CITY,1946,2011
Virginia,SALEM CITY,2247,2011
Virginia,NORFOLK CITY,27673,2011
Virginia,FAIRFAX,84511,2011
Washington,KITTITAS,3429,2011
Washington,BENTON,15232,2011
Puerto Rico,AIBONITO,849,2011
Puerto Rico,LAJAS,1026,2011
Puerto Rico,CAMUY,775,2011
Puerto Rico,HORMIGUEROS,693,2011
Puerto Rico,NARANJITO,421,2011
Puerto Rico,ARECIBO,2869,2011
Puerto Rico,FLORIDA,237,2011
Puerto Rico,MOCA,937,2011
Puerto Rico,SALINAS,918,2011
Puerto Rico,YAUCO,1440,2011
Puerto Rico,CABO ROJO,1677,2011
Puerto Rico,PATILLAS,577,2011
Puerto Rico,YABUCOA,908,2011
Puerto Rico,CANOVANAS,1063,2011
Minnesota,RICE,3796,2011
Minnesota,WILKIN,537,2011
Minnesota,RED LAKE,369,2011
Minnesota,CLAY,3864,2011
Minnesota,FARIBAULT,1454,2011
Minnesota,FILLMORE,1701,2011
Minnesota,LAKE,1334,2011
Minnesota,POLK,2535,2011
Minnesota,ROSEAU,1249,2011
Minnesota,SIBLEY,991,2011
Minnesota,WATONWAN,948,2011
Minnesota,BECKER,3375,2011
Minnesota,BIG STONE,534,2011
Minnesota,BROWN,2359,2011
Minnesota,CASS,3475,2011
Minnesota,GOODHUE,4132,2011
Minnesota,HUBBARD,2521,2011
Minnesota,JACKSON,958,2011
Minnesota,MARTIN,2062,2011
Minnesota,NOBLES,1490,2011
Minnesota,PINE,3201,2011
Puerto Rico,DORADO,1461,2011
Puerto Rico,OROCOVIS,467,2011
Puerto Rico,CEIBA,616,2011
Puerto Rico,COMERIO,325,2011
Puerto Rico,LARES,535,2011
Puerto Rico,SAN JUAN,14289,2011
Puerto Rico,MARICAO,127,2011
Kentucky,PENDLETON,995,2011
Kentucky,ROBERTSON,120,2011
Kentucky,RUSSELL,1266,2011
Kentucky,SPENCER,1265,2011
Kentucky,WASHINGTON,757,2011
Kentucky,BATH,583,2011
Kentucky,BALLARD,740,2011
Kentucky,BARREN,2758,2011
Kentucky,BOYLE,2151,2011
Kentucky,GREEN,925,2011
Kentucky,HANCOCK,859,2011
Kentucky,HARLAN,2351,2011
Kentucky,MARTIN,650,2011
Kentucky,HARDIN,13604,2011
Kentucky,LINCOLN,1726,2011
Kentucky,MCLEAN,799,2011
Kentucky,MONROE,851,2011
Kentucky,OHIO,1671,2011
Kentucky,POWELL,823,2011
Kentucky,WEBSTER,957,2011
Kentucky,CALDWELL,1079,2011
Kentucky,CASEY,1193,2011
Kentucky,CHRISTIAN,7673,2011
Kentucky,GRAYSON,1702,2011
Kentucky,HENRY,1006,2011
Kentucky,HOPKINS,3692,2011
Kentucky,LAUREL,4401,2011
Kentucky,MARSHALL,2861,2011
Kentucky,MONTGOMERY,1833,2011
Kentucky,NICHOLAS,394,2011
Kentucky,OWEN,970,2011
Kentucky,SCOTT,3061,2011
Kentucky,WARREN,7702,2011
Kentucky,BOURBON,1477,2011
Kentucky,BOYD,4535,2011
Kentucky,CRITTENDEN,771,2011
Kentucky,FAYETTE,19148,2011
Kentucky,JOHNSON,1434,2011
Kentucky,MENIFEE,451,2011
Kentucky,MORGAN,600,2011
Kentucky,PERRY,1812,2011
Kentucky,PULASKI,4902,2011
Kentucky,CLAY,786,2011
Kentucky,ADAIR,1337,2011
Kentucky,BREATHITT,675,2011
Kentucky,GRAVES,2656,2011
Kentucky,HART,1361,2011
Kentucky,BUTLER,954,2011
Kentucky,TRIMBLE,656,2011
Kentucky,HARRISON,1529,2011
Kentucky,HICKMAN,410,2011
Kentucky,LYON,994,2011
Alabama,MONROE,1356,2011
Alabama,LAWRENCE,2258,2011
Alabama,LEE,9821,2011
Kentucky,WAYNE,1364,2011
Kentucky,LEWIS,805,2011
Kentucky,TRIGG,1603,2011
Kentucky,WOODFORD,2045,2011
Kentucky,LESLIE,400,2011
Kentucky,JESSAMINE,3236,2011
Kentucky,LAWRENCE,887,2011
Kentucky,LIVINGSTON,722,2011
Kentucky,MCCRACKEN,5855,2011
Kentucky,SHELBY,3660,2011
Kentucky,WHITLEY,2574,2011
Alabama,MARION,2462,2011
Alabama,PICKENS,1561,2011
Alabama,SUMTER,774,2011
Alabama,JEFFERSON,50455,2011
Alabama,CHOCTAW,817,2011
Alabama,FRANKLIN,1961,2011
Alabama,MARENGO,1698,2011
Alabama,RUSSELL,5433,2011
Alabama,CHEROKEE,2254,2011
Alabama,COVINGTON,3716,2011
Alabama,CRENSHAW,1389,2011
Alabama,DALLAS,3304,2011
Alabama,LAUDERDALE,7610,2011
Alabama,LOWNDES,696,2011
Alabama,MACON,1900,2011
Alabama,LIMESTONE,7158,2011
Alabama,SHELBY,14315,2011
Alabama,WINSTON,1971,2011
Alabama,CULLMAN,6289,2011
Alabama,ELMORE,8098,2011
Alabama,JACKSON,3928,2011
Alabama,TALLADEGA,6787,2011
Alabama,WASHINGTON,1097,2011
Alabama,CLAY,1118,2011
Alabama,MORGAN,10177,2011
Alabama,CHILTON,3128,2011
Alabama,COLBERT,4429,2011
Indiana,HARRISON,3653,2011
Indiana,WABASH,2782,2011
Indiana,JAY,1411,2011
Indiana,PORTER,12273,2011
Indiana,SPENCER,1911,2011
Indiana,TIPPECANOE,9873,2011
Indiana,HAMILTON,14918,2011
Indiana,LAGRANGE,1673,2011
Indiana,BOONE,3755,2011
Indiana,MONTGOMERY,3240,2011
Indiana,CLARK,8661,2011
Indiana,CLAY,2459,2011
Indiana,FRANKLIN,1762,2011
Indiana,JACKSON,3254,2011
Indiana,POSEY,2087,2011
Indiana,VERMILLION,1549,2011
Indiana,ALLEN,24479,2011
Indiana,FLOYD,6336,2011
Indiana,JOHNSON,10011,2011
Indiana,GIBSON,2546,2011
Indiana,ORANGE,1338,2011
Indiana,MARSHALL,3334,2011
Indiana,BLACKFORD,1225,2011
Indiana,SCOTT,1698,2011
Indiana,ELKHART,11655,2011
Indiana,CASS,3397,2011
Indiana,WAYNE,6127,2011
Iowa,BUTLER,1116,2011
Iowa,HAMILTON,1328,2011
Iowa,UNION,1104,2011
Iowa,WORTH,738,2011
Iowa,ADAIR,741,2011
Iowa,CHICKASAW,1033,2011
Iowa,DICKINSON,1719,2011
Iowa,KEOKUK,843,2011
Iowa,TAMA,1525,2011
Iowa,FRANKLIN,840,2011
Iowa,CEDAR,1650,2011
Iowa,FLOYD,1611,2011
Iowa,LOUISA,874,2011
Iowa,HUMBOLDT,996,2011
Iowa,WASHINGTON,1815,2011
Iowa,CHEROKEE,1197,2011
Iowa,DES MOINES,3603,2011
Iowa,KOSSUTH,1462,2011
Iowa,MUSCATINE,3070,2011
Iowa,POLK,27640,2011
Kentucky,ANDERSON,1692,2011
Kentucky,BRECKINRIDGE,1657,2011
Kentucky,FLOYD,2093,2011
Kentucky,FRANKLIN,4337,2011
Kentucky,KENTON,11942,2011
Kentucky,MCCREARY,1263,2011
Kentucky,MADISON,5890,2011
Kentucky,MAGOFFIN,418,2011
Kentucky,METCALFE,528,2011
Kentucky,OWSLEY,282,2011
Kentucky,ROWAN,1227,2011
Kentucky,SIMPSON,1044,2011
Kentucky,TAYLOR,1631,2011
Kentucky,CLARK,2822,2011
Kentucky,TODD,926,2011
Kentucky,CARLISLE,414,2011
Kentucky,CARROLL,815,2011
Kentucky,CLINTON,747,2011
Kentucky,ESTILL,878,2011
Louisiana,RICHLAND PARISH,1167,2011
Louisiana,SAINT MARTIN PARISH,2962,2011
Louisiana,WINN PARISH,1075,2011
Louisiana,EAST BATON ROUGE PARISH,26994,2011
Louisiana,ALLEN PARISH,1630,2011
Louisiana,MADISON PARISH,907,2011
Louisiana,SAINT JAMES PARISH,1345,2011
Louisiana,GRANT PARISH,1918,2011
Louisiana,JEFFERSON PARISH,28822,2011
Louisiana,BEAUREGARD PARISH,3684,2011
Louisiana,BOSSIER PARISH,12884,2011
Louisiana,EAST FELICIANA PARISH,1490,2011
Louisiana,SAINT JOHN THE BAPTIST PARISH,3024,2011
Louisiana,OUACHITA PARISH,10163,2011
Louisiana,RAPIDES PARISH,11444,2011
Louisiana,SAINT LANDRY PARISH,4615,2011
Louisiana,TANGIPAHOA PARISH,8403,2011
Louisiana,SAINT MARY PARISH,3729,2011
Louisiana,WEST CARROLL PARISH,666,2011
Louisiana,UNION PARISH,1665,2011
Louisiana,CALDWELL PARISH,764,2011
Louisiana,EAST CARROLL PARISH,259,2011
Louisiana,LAFAYETTE PARISH,14789,2011
Louisiana,EVANGELINE PARISH,1917,2011
Louisiana,LINCOLN PARISH,2531,2011
Louisiana,SAINT BERNARD PARISH,1527,2011
Louisiana,WEBSTER PARISH,3550,2011
Louisiana,WEST BATON ROUGE PARISH,1541,2011
Alabama,COOSA,1004,2011
Alabama,DALE,6920,2011
Alabama,HALE,1244,2011
Alabama,ETOWAH,9449,2011
Alabama,DEKALB,4501,2011
Alabama,ESCAMBIA,3117,2011
Alabama,LAMAR,1363,2011
Alabama,RANDOLPH,1738,2011
Alabama,BUTLER,1629,2011
Alabama,MOBILE,35538,2011
Alabama,PERRY,690,2011
Alabama,WALKER,5489,2011
Alabama,CLEBURNE,1099,2011
Alabama,CONECUH,1143,2011
Alabama,GREENE,467,2011
Alabama,BARBOUR,2167,2011
Alabama,BIBB,1824,2011
Alabama,BULLOCK,830,2011
Alabama,CALHOUN,11564,2011
Alabama,CLARKE,1754,2011
Alabama,FAYETTE,1312,2011
Alabama,MARSHALL,7792,2011
Alabama,BLOUNT,4019,2011
Alabama,MADISON,34113,2011
Alabama,AUTAUGA,5942,2011
Alabama,GENEVA,2543,2011
Alaska,ALEUTIANS WEST,474,2011
Alaska,BRISTOL BAY,96,2011
Alaska,NORTHWEST ARCTIC,458,2011
Alaska,BETHEL,788,2011
Alaska,WADE HAMPTON,315,2011
Alaska,SITKA,835,2011
Alaska,KETCHIKAN GATEWAY,1252,2011
Alaska,MATANUSKA-SUSITNA,9538,2011
Alaska,DILLINGHAM,223,2011
Alaska,HAINES,297,2011
Alaska,JUNEAU,2704,2011
Alaska,LAKE AND PENINSULA,82,2011
Alaska,YUKON-KOYUKUK,445,2011
Alaska,ANCHORAGE,30874,2011
Alaska,DENALI,183,2011
Alaska,VALDEZ-CORDOVA,945,2011
Alaska,HOONAH-ANGOON,207,2011
Alaska,SKAGWAY,59,2011
Alaska,PRINCE OF WALES-HYDER,532,2011
Kansas,JEWELL,406,2011
Kansas,KEARNY,241,2011
Kansas,RICE,821,2011
Kansas,STAFFORD,360,2011
Kansas,MCPHERSON,2018,2011
Kansas,OSAGE,1798,2011
Kansas,GREELEY,103,2011
Kansas,COFFEY,787,2011
Kansas,CRAWFORD,2846,2011
Kansas,ELLIS,2098,2011
Kansas,GREENWOOD,637,2011
Kansas,LABETTE,1751,2011
Kansas,LINN,993,2011
Kansas,SEDGWICK,38664,2011
Kansas,SEWARD,1054,2011
Kansas,REPUBLIC,558,2011
Kansas,GRAHAM,185,2011
Kansas,JOHNSON,34863,2011
Kansas,DOUGLAS,6172,2011
Kansas,SHERIDAN,252,2011
Kansas,MIAMI,2701,2011
Kansas,WALLACE,104,2011
Kansas,STEVENS,420,2011
Kansas,SMITH,455,2011
Kansas,JACKSON,1292,2011
Kansas,KINGMAN,850,2011
Kansas,NEMAHA,712,2011
Kansas,WYANDOTTE,10719,2011
Kansas,CHEROKEE,1788,2011
Kansas,CLAY,1009,2011
Kansas,LINCOLN,413,2011
Kansas,SUMNER,2303,2011
Kansas,TREGO,306,2011
Arkansas,NEWTON,899,2011
Arkansas,LITTLE RIVER,1128,2011
Arkansas,LONOKE,7359,2011
Arkansas,MILLER,3479,2011
Arkansas,SAINT FRANCIS,1863,2011
Arkansas,WHITE,6236,2011
California,MERCED,11730,2011
California,MARIPOSA,2334,2011
California,YUBA,6089,2011
California,CONTRA COSTA,61134,2011
California,LASSEN,3407,2011
California,STANISLAUS,27383,2011
California,SONOMA,33300,2011
California,TEHAMA,5558,2011
California,MONO,820,2011
California,SAN BENITO,2702,2011
California,SACRAMENTO,100809,2011
California,EL DORADO,17831,2011
California,MONTEREY,22560,2011
California,SIERRA,551,2011
Arizona,GILA,5864,2011
Arizona,COCHISE,19690,2011
Arizona,APACHE,4450,2011
Arizona,YUMA,16670,2011
Arizona,NAVAJO,7835,2011
Arkansas,CLAY,1344,2011
Arkansas,DREW,1350,2011
Arkansas,RANDOLPH,1676,2011
Arkansas,BOONE,3349,2011
Arkansas,DESHA,845,2011
Arkansas,GARLAND,10719,2011
Arkansas,POPE,4963,2011
Arkansas,WOODRUFF,514,2011
Arkansas,JACKSON,1531,2011
Arkansas,STONE,1374,2011
Arkansas,BAXTER,6045,2011
Arkansas,GREENE,3762,2011
Arkansas,PHILLIPS,1533,2011
Arkansas,YELL,1654,2011
Arkansas,CLARK,1738,2011
Arkansas,MONROE,651,2011
Arkansas,OUACHITA,2392,2011
Arkansas,ARKANSAS,1507,2011
Arkansas,CARROLL,2717,2011
Arkansas,PULASKI,32318,2011
California,LAKE,7212,2011
California,MODOC,1138,2011
California,INYO,1764,2011
California,SANTA BARBARA,27101,2011
California,IMPERIAL,6634,2011
California,ALAMEDA,68414,2011
California,NAPA,10069,2011
California,SAN FRANCISCO,32007,2011
California,COLUSA,1201,2011
California,KINGS,12135,2011
California,FRESNO,44567,2011
California,ORANGE,140583,2011
California,SUTTER,7188,2011
California,SAN JOAQUIN,37658,2011
Kansas,WILSON,831,2011
Kansas,MITCHELL,490,2011
Kansas,NESS,296,2011
Kansas,ATCHISON,1271,2011
Kansas,BOURBON,1237,2011
Kansas,HAMILTON,234,2011
Kansas,LEAVENWORTH,9548,2011
Kansas,SHAWNEE,16912,2011
Kansas,WICHITA,152,2011
Kansas,CHAUTAUQUA,385,2011
Kansas,NORTON,589,2011
Kansas,RENO,5521,2011
Kansas,CLOUD,915,2011
Kansas,EDWARDS,243,2011
Kansas,HASKELL,172,2011
Kansas,RUSH,294,2011
Kansas,SCOTT,313,2011
Kansas,NEOSHO,1731,2011
Kansas,OTTAWA,572,2011
Kansas,PHILLIPS,438,2011
Kansas,BARBER,460,2011
Kansas,DECATUR,314,2011
Kansas,JEFFERSON,1869,2011
Kentucky,GREENUP,3187,2011
Kentucky,FLEMING,956,2011
Kentucky,CARTER,2040,2011
Kentucky,ELLIOTT,467,2011
Kentucky,JEFFERSON,56470,2011
Kentucky,LARUE,1162,2011
Kentucky,MASON,1318,2011
Georgia,CHEROKEE,14528,2011
Georgia,LEE,2092,2011
Georgia,PICKENS,2764,2011
Georgia,COOK,1236,2011
Georgia,FULTON,47670,2011
Hawaii,HAWAII,16298,2011
Hawaii,KAUAI,4884,2011
Idaho,CASSIA,1393,2011
Idaho,LINCOLN,235,2011
Idaho,FRANKLIN,870,2011
Idaho,CANYON,13578,2011
Idaho,LATAH,2341,2011
Idaho,BENEWAH,955,2011
Idaho,CLARK,43,2011
Idaho,FREMONT,1094,2011
Idaho,IDAHO,1946,2011
Idaho,POWER,413,2011
Illinois,MADISON,24827,2011
Illinois,MERCER,1467,2011
Illinois,SANGAMON,16074,2011
Illinois,RANDOLPH,3209,2011
Illinois,OGLE,4528,2011
Illinois,STEPHENSON,4384,2011
Illinois,WHITE,1445,2011
Illinois,HENDERSON,770,2011
Illinois,MCLEAN,10129,2011
Illinois,PIKE,1409,2011
Illinois,ROCK ISLAND,13078,2011
Illinois,WABASH,833,2011
Illinois,CUMBERLAND,990,2011
Colorado,ARCHULETA,1275,2011
Colorado,HUERFANO,879,2011
Colorado,CHAFFEE,2186,2011
Colorado,GARFIELD,3629,2011
Colorado,MINERAL,113,2011
Colorado,SEDGWICK,272,2011
Colorado,CUSTER,608,2011
Colorado,ADAMS,27975,2011
Idaho,NEZ PERCE,4127,2011
Idaho,JEROME,1448,2011
Idaho,KOOTENAI,13492,2011
Idaho,LEWIS,547,2011
Illinois,KANE,25408,2011
Illinois,BROWN,391,2011
Illinois,MARSHALL,1264,2011
Illinois,CHRISTIAN,3334,2011
Illinois,JACKSON,4387,2011
Illinois,UNION,1659,2011
Illinois,SALINE,2383,2011
Illinois,WHITESIDE,5066,2011
Illinois,DEKALB,6227,2011
Illinois,JASPER,874,2011
Illinois,WILL,35383,2011
Illinois,DOUGLAS,1417,2011
Illinois,GREENE,1170,2011
Illinois,HARDIN,399,2011
Illinois,KNOX,4886,2011
Illinois,MASSAC,1407,2011
Illinois,TAZEWELL,11075,2011
Idaho,MINIDOKA,1538,2011
Idaho,TWIN FALLS,5818,2011
Idaho,OWYHEE,1162,2011
Idaho,BLAINE,1241,2011
Idaho,BOISE,963,2011
Idaho,BOUNDARY,1552,2011
Idaho,BUTTE,279,2011
Idaho,CARIBOU,556,2011
Idaho,GOODING,1235,2011
Idaho,ADA,31422,2011
Idaho,BANNOCK,5697,2011
Idaho,BEAR LAKE,538,2011
Idaho,BINGHAM,2947,2011
Idaho,BONNEVILLE,7024,2011
Idaho,CAMAS,128,2011
Idaho,CLEARWATER,1019,2011
Idaho,JEFFERSON,1537,2011
Idaho,LEMHI,904,2011
Idaho,PAYETTE,2078,2011
Idaho,BONNER,4488,2011
Idaho,CUSTER,486,2011
Idaho,ELMORE,4274,2011
Idaho,MADISON,965,2011
Idaho,SHOSHONE,1675,2011
Idaho,TETON,397,2011
Idaho,WASHINGTON,1212,2011
Illinois,HANCOCK,1796,2011
Illinois,GRUNDY,3305,2011
Illinois,KANKAKEE,8649,2011
Illinois,DUPAGE,45634,2011
Illinois,ALEXANDER,785,2011
Illinois,MENARD,1161,2011
Illinois,LASALLE,9727,2011
Illinois,COOK,232373,2011
Illinois,MACON,9484,2011
Illinois,MORGAN,3255,2011
Illinois,WAYNE,1562,2011
Illinois,WOODFORD,3150,2011
Illinois,FRANKLIN,3954,2011
Illinois,MCDONOUGH,2331,2011
Illinois,MCHENRY,18441,2011
Illinois,MOULTRIE,1098,2011
Illinois,PERRY,2089,2011
Illinois,POPE,491,2011
Illinois,SAINT CLAIR,29036,2011
