State,County/ Congressional District,Veteran Population,Year
Georgia,BERRIEN,1436,2010
Georgia,BIBB,12698,2010
Georgia,BLECKLEY,1085,2010
Georgia,BRANTLEY,1527,2010
Georgia,BROOKS,1249,2010
Georgia,BRYAN,3535,2010
Georgia,BULLOCH,4484,2010
Georgia,BURKE,1674,2010
Georgia,BUTTS,1883,2010
Georgia,CALHOUN,503,2010
Georgia,CAMDEN,6108,2010
Georgia,CANDLER,681,2010
Georgia,CARROLL,7671,2010
Georgia,CATOOSA,4882,2010
Georgia,CHARLTON,1164,2010
Georgia,CHATHAM,24577,2010
Georgia,CHATTAHOOCHEE,765,2010
Georgia,CHATTOOGA,1647,2010
Georgia,CHEROKEE,14727,2010
Georgia,CLARKE,5720,2010
Georgia,CLAY,226,2010
Georgia,CLAYTON,19665,2010
Georgia,CLINCH,339,2010
Georgia,COBB,47766,2010
Georgia,COFFEE,2747,2010
Georgia,COLQUITT,2522,2010
Georgia,COLUMBIA,12752,2010
Georgia,COOK,1292,2010
Georgia,COWETA,10921,2010
Georgia,CRAWFORD,1064,2010
Georgia,CRISP,1641,2010
Georgia,DADE,1393,2010
Georgia,DAWSON,1985,2010
Georgia,DECATUR,1637,2010
Georgia,DEKALB,40569,2010
Georgia,DODGE,1710,2010
Georgia,DOOLY,1182,2010
Georgia,DOUGHERTY,7477,2010
Georgia,DOUGLAS,10457,2010
Georgia,EARLY,856,2010
Georgia,ECHOLS,245,2010
Georgia,EFFINGHAM,4629,2010
Georgia,ELBERT,1468,2010
Georgia,EMANUEL,1452,2010
Georgia,EVANS,732,2010
Georgia,FANNIN,2540,2010
Georgia,FAYETTE,12342,2010
Georgia,FLOYD,7568,2010
Georgia,FORSYTH,9650,2010
Georgia,FRANKLIN,1393,2010
Georgia,FULTON,48118,2010
Georgia,GILMER,2496,2010
Georgia,GLASCOCK,331,2010
Georgia,GLYNN,8409,2010
Georgia,GORDON,3336,2010
Georgia,GRADY,1670,2010
Georgia,GREENE,1302,2010
Georgia,GWINNETT,42310,2010
Georgia,HABERSHAM,3078,2010
Georgia,HALL,10877,2010
Georgia,HANCOCK,575,2010
Georgia,HARALSON,1970,2010
Georgia,HARRIS,3468,2010
Georgia,HART,1988,2010
Georgia,HEARD,940,2010
Georgia,HENRY,17026,2010
Georgia,HOUSTON,18255,2010
Georgia,IRWIN,793,2010
Georgia,JACKSON,3414,2010
Georgia,JASPER,903,2010
Georgia,JEFF DAVIS,847,2010
Georgia,JEFFERSON,1248,2010
Georgia,JENKINS,453,2010
Georgia,JOHNSON,850,2010
Georgia,JONES,2041,2010
Georgia,LAMAR,1514,2010
Georgia,LANIER,613,2010
Georgia,LAURENS,3841,2010
Georgia,LEE,2228,2010
Georgia,LIBERTY,10139,2010
Georgia,LINCOLN,857,2010
Georgia,LONG,1492,2010
Georgia,LOWNDES,9002,2010
Georgia,LUMPKIN,2453,2010
Georgia,MCDUFFIE,1340,2010
Georgia,MCINTOSH,1345,2010
Georgia,MACON,971,2010
Georgia,MADISON,2339,2010
Georgia,MARION,885,2010
Georgia,MERIWETHER,1571,2010
Georgia,MILLER,426,2010
Georgia,MITCHELL,1665,2010
Georgia,MONROE,2120,2010
Georgia,MONTGOMERY,785,2010
Georgia,MORGAN,1571,2010
Georgia,MURRAY,2466,2010
Georgia,MUSCOGEE,21457,2010
Georgia,NEWTON,7122,2010
Georgia,OCONEE,1989,2010
Georgia,OGLETHORPE,991,2010
Georgia,PAULDING,9551,2010
Georgia,PEACH,2127,2010
Georgia,PICKENS,2662,2010
Georgia,PIERCE,1744,2010
Georgia,PIKE,1368,2010
Georgia,POLK,2860,2010
Georgia,PULASKI,875,2010
Georgia,PUTNAM,2032,2010
Georgia,QUITMAN,234,2010
Georgia,RABUN,1723,2010
Georgia,RANDOLPH,568,2010
Georgia,RICHMOND,21044,2010
Georgia,ROCKDALE,6665,2010
Georgia,SCHLEY,275,2010
Georgia,SCREVEN,1060,2010
Georgia,SEMINOLE,571,2010
Georgia,SPALDING,5163,2010
Georgia,STEPHENS,2017,2010
Georgia,STEWART,325,2010
Georgia,SUMTER,1800,2010
Georgia,TALBOT,561,2010
Georgia,TALIAFERRO,143,2010
Georgia,TATTNALL,2022,2010
Georgia,TAYLOR,573,2010
