State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
Alaska,ALEUTIANS EAST,147,212,75,0,0,0,0,2,134,11
Alaska,ALEUTIANS WEST,343,220,91,0,2,0,0,10,117,21
Alaska,ANCHORAGE,30155,284740,114712,0,37219,0,8107,1490,123213,9005
Alaska,BETHEL,997,1829,727,0,141,0,0,8,953,97
Alaska,BRISTOL BAY,115,315,208,0,0,0,0,0,107,<10
Alaska,DENALI,233,1225,609,0,56,0,0,6,554,49
Alaska,DILLINGHAM,298,730,352,0,55,0,0,3,320,34
Alaska,FAIRBANKS N. STAR,12861,90202,42611,0,15909,0,0,394,31288,2611
Alaska,HAINES,276,970,590,0,48,0,0,0,333,49
Alaska,HOONAH-ANGOON,191,720,436,0,3,0,0,10,272,47
Alaska,JUNEAU,2195,12995,5662,0,1937,0,0,46,5350,485
Alaska,KENAI PENINSULA,5404,47049,17849,0,2282,0,0,132,26786,1830
Alaska,KETCHIKAN GATEWAY,1436,5053,2569,0,422,0,0,61,2001,154
Alaska,KODIAK ISLAND,1381,6354,2978,0,1022,0,0,5,2350,197
Alaska,LAKE AND PENINSULA,115,190,89,0,12,0,0,0,88,22
Alaska,MATANUSKA SUSITNA,10958,105328,46160,0,11632,0,0,366,47170,3543
Alaska,NOME,661,868,537,0,94,0,0,4,232,44
Alaska,NORTH SLOPE,347,1149,287,0,14,0,0,1,847,39
Alaska,NORTHWEST ARCTIC,460,264,148,0,33,0,0,0,82,21
Alaska,PETERSBURG,392,1413,732,0,7,0,0,35,639,55
Alaska,PRINCE OF WALES-HYDER,528,2982,979,0,74,0,0,5,1924,145
Alaska,SITKA,780,3316,1499,40,295,0,0,18,1464,118
Alaska,SKAGWAY,83,248,68,0,7,0,0,0,172,18
Alaska,SOUTHEAST FAIRBANKS,735,6980,3751,0,508,0,0,33,2688,238
Alaska,VALDEZ CORDOVA,1061,5090,2070,0,304,0,0,1,2715,175
Alaska,WADE HAMPTON,282,682,391,0,51,0,0,0,241,39
Alaska,WRANGELL,261,1145,495,0,54,0,0,11,586,56
Alaska,YAKUTAT,76,684,97,0,24,0,0,0,563,42
Alaska,YUKON KOYUKUK,504,1913,752,0,58,0,0,4,1098,102
Alabama,AUTAUGA,6063,49987,32003,0,4960,0,0,243,12781,1460
Alabama,BALDWIN,20173,103195,64012,0,8337,0,0,1708,29138,4657
Alabama,BARBOUR,2398,16392,10849,0,507,0,0,82,4954,624
Alabama,BIBB,1311,11744,7387,0,295,0,0,46,4016,471
Alabama,BLOUNT,4833,23180,10467,0,896,0,0,95,11722,1040
Alabama,BULLOCK,911,8167,4619,0,275,0,0,32,3241,221
Alabama,BUTLER,1819,13485,8668,0,421,0,0,89,4307,451
Alabama,CALHOUN,11884,89542,59918,0,4104,0,0,506,25013,3260
Alabama,CHAMBERS,3100,24741,15107,0,880,0,0,106,8648,821
Alabama,CHEROKEE,2162,12260,7771,0,257,0,0,146,4086,497
Alabama,CHILTON,3339,28537,17279,0,1024,0,0,150,10084,857
Alabama,CHOCTAW,927,10224,7036,0,155,0,0,95,2939,333
Alabama,CLARKE,1753,14195,9088,0,372,0,0,59,4675,577
Alabama,CLAY,1235,7725,4597,0,184,0,0,44,2901,325
Alabama,CLEBURNE,966,5935,3453,0,168,0,0,0,2313,281
Alabama,COFFEE,7431,72757,51920,0,6867,0,0,464,13507,1878
Alabama,COLBERT,4740,35181,23523,0,1389,0,0,348,9920,1337
Alabama,CONECUH,1225,10328,6104,0,323,0,0,47,3854,408
Alabama,COOSA,1017,8236,5102,0,267,0,0,22,2845,272
Alabama,COVINGTON,3482,26494,18394,0,719,0,0,90,7291,874
Alabama,CRENSHAW,926,9910,6400,0,407,0,0,32,3071,310
Alabama,CULLMAN,7152,43084,24922,0,2260,0,0,295,15606,1488
Alabama,DALE,7301,63093,43759,0,5104,0,0,385,13845,2057
Alabama,DALLAS,2892,29341,15674,0,1015,0,0,246,12407,1032
Alabama,DE KALB,4472,28599,16252,0,794,0,0,194,11359,1069
Alabama,ELMORE,9495,74011,49889,0,5704,0,0,803,17615,2189
Alabama,ESCAMBIA,3049,20281,13661,0,757,0,0,175,5688,789
Alabama,ETOWAH,8887,68214,42161,0,1959,0,0,244,23851,2473
Alabama,FAYETTE,1360,12778,6559,0,414,0,0,98,5707,561
Alabama,FRANKLIN,1817,12083,7959,0,523,0,0,61,3540,401
Alabama,GENEVA,2658,24803,18303,0,903,0,0,226,5372,887
Alabama,GREENE,484,7055,3890,0,206,0,0,5,2954,257
Alabama,HALE,897,13207,6964,0,387,0,0,58,5798,423
Alabama,HENRY,1706,11839,8649,0,403,0,0,138,2649,444
Alabama,HOUSTON,9157,73414,48231,0,4399,0,0,576,20208,2947
Alabama,JACKSON,4059,19886,12569,0,720,0,0,298,6298,819
Alabama,JEFFERSON,47408,447521,194053,326,21593,0,2837,3564,225147,15224
Alabama,LAMAR,1229,9511,5780,0,339,0,0,45,3347,445
Alabama,LAUDERDALE,7818,44767,30872,0,2517,0,0,396,10981,1821
Alabama,LAWRENCE,2246,11407,6888,0,394,0,0,88,4037,487
Alabama,LEE,11346,109462,67994,0,12803,0,0,927,27737,3079
Alabama,LIMESTONE,8791,45824,29600,0,5466,0,0,237,10522,1527
Alabama,LOWNDES,750,7595,4002,0,321,0,0,5,3267,270
Alabama,MACON,1635,32595,13630,0,829,0,640,137,17358,890
Alabama,MADISON,39245,231025,153766,0,28911,0,0,2211,46137,7487
Alabama,MARENGO,1424,15286,9609,0,417,0,0,175,5084,649
Alabama,MARION,2285,14508,8424,0,565,0,0,17,5502,611
Alabama,MARSHALL,7312,43647,26463,0,2194,0,0,344,14647,1822
Alabama,MOBILE,32583,219460,122410,0,18579,0,387,1767,76316,9106
