State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
California,ALAMEDA,64672,356169,126769,88,36359,0,40530,6090,146333,12231
California,ALPINE,117,230,114,0,9,0,0,0,106,16
California,AMADOR,4365,14836,8299,0,884,0,0,232,5422,735
California,BUTTE,18242,95583,53061,0,8580,0,0,1185,32757,4859
California,CALAVERAS,5630,23706,11944,0,676,0,0,217,10869,1478
California,COLUSA,1363,5137,2750,0,282,0,0,131,1974,228
California,CONTRA COSTA,61188,255703,112857,4474,25152,0,9596,6690,96933,11201
California,DEL NORTE,3045,18261,12570,0,353,0,0,128,5211,856
California,EL DORADO,15317,64545,37756,0,3750,0,0,961,22079,2961
California,FRESNO,46344,277149,111785,13376,22146,0,3074,2769,123998,12513
California,GLENN,1630,8040,4326,0,470,0,0,78,3166,465
California,HUMBOLDT,11139,67025,35946,0,2958,0,0,869,27252,4583
California,IMPERIAL,6740,35334,17115,0,5763,0,0,417,12039,1720
California,INYO,1483,5758,2911,0,207,0,0,65,2575,327
California,KERN,45240,186726,106087,0,23655,0,0,2656,54328,8168
California,KINGS,10351,53314,30740,0,9878,0,0,323,12374,1892
California,LAKE,7293,46088,22022,0,1035,0,0,379,22651,2260
California,LASSEN,3680,14324,7838,0,680,0,0,111,5695,858
California,LOS ANGELES,334461,1757027,572823,39931,244098,0,43372,30698,826105,69698
California,MADERA,9031,43843,22419,0,2428,0,0,482,18515,2240
California,MARIN,15250,47099,18967,0,3252,0,0,2548,22332,2061
California,MARIPOSA,2304,11160,6301,0,189,0,0,86,4585,568
California,MENDOCINO,7268,49730,26238,0,1056,0,0,545,21891,2284
California,MERCED,12574,60309,32342,385,4361,0,1739,781,20700,2876
California,MODOC,807,5471,3415,0,87,0,0,128,1840,351
California,MONO,822,2136,1196,0,93,0,0,11,836,153
California,MONTEREY,22112,144566,80007,0,12696,0,0,2253,49611,6174
California,NAPA,8773,34611,18551,0,2469,0,0,943,12647,1855
California,NEVADA,11074,40734,23646,0,2472,0,0,1217,13399,2314
California,ORANGE,136066,498204,219179,0,91602,0,0,14194,173229,21043
California,PLACER,32003,111819,61433,0,14023,0,0,2949,33414,5182
California,PLUMAS,2335,12805,6142,0,403,0,0,96,6165,729
California,RIVERSIDE,127127,731924,374798,993,110490,0,7596,10310,227736,32080
California,SACRAMENTO,95981,472471,244084,0,55447,0,0,7000,165939,19584
California,SAN BENITO,3002,17130,9558,0,1000,0,0,173,6399,753
California,SAN BERNARDINO,114482,583765,266575,5373,70394,0,4384,5574,231464,26049
California,SAN DIEGO,228526,1755045,778958,36062,430735,0,57657,23136,428497,55092
California,SAN FRANCISCO,26493,241247,53448,7394,19656,0,10759,2886,147104,7398
California,SAN JOAQUIN,36244,179328,88471,0,14380,0,0,2201,74277,8231
California,SAN LUIS OBISPO,22098,69949,42206,0,5883,0,0,1734,20126,4694
California,SAN MATEO,30900,201777,51527,0,15301,0,3615,4489,126846,6761
California,SANTA BARBARA,25750,94833,52380,0,12236,0,0,2842,27376,5066
California,SANTA CLARA,67490,430655,121814,56663,31653,0,12479,7798,200249,14062
California,SANTA CRUZ,13631,68347,33424,0,4478,0,0,1271,29174,3313
California,SHASTA,17749,122217,70521,0,5337,0,0,947,45412,6485
California,SIERRA,346,1991,1081,0,78,0,0,23,808,118
California,SISKIYOU,4450,21313,12983,0,541,0,0,356,7434,1504
California,SOLANO,38963,237567,148128,0,28862,0,0,3059,57518,7786
California,SONOMA,32382,142219,64636,0,10541,0,0,2949,64094,6349
California,STANISLAUS,26344,141204,71235,0,10837,0,0,1540,57592,6345
California,SUTTER,6724,35601,24786,0,3380,0,0,406,7028,1285
California,TEHAMA,6243,33562,18378,0,1252,0,0,281,13651,1820
California,TRINITY,1490,8483,5298,0,148,0,0,42,2994,526
California,TULARE,17837,101015,54904,0,8188,0,0,684,37238,5207
California,TUOLUMNE,6968,35281,18356,0,1017,0,0,315,15593,2140
California,VENTURA,50743,175498,87081,0,31701,0,0,4545,52170,8006
California,YOLO,8303,49524,26524,0,7993,0,0,1055,13952,1860
California,YUBA,5090,39823,23611,0,5918,0,0,364,9929,1382
Alaska,ALEUTIANS EAST,183,53,18,0,0,0,0,0,35,9
Alaska,ALEUTIANS WEST,387,110,83,0,5,0,0,10,12,12
Alaska,ANCHORAGE,31190,214836,101992,169,26015,0,6069,1719,78873,7979
Alaska,BETHEL,1233,985,549,0,58,0,0,24,354,54
Alaska,BRISTOL BAY,170,291,235,0,2,0,0,12,43,5
Alaska,DENALI,306,973,627,0,101,0,0,3,243,27
Alaska,DILLINGHAM,360,466,323,0,20,0,0,3,121,29
Alaska,FAIRBANKS N. STAR,11654,71314,37910,0,11019,0,0,663,21722,2171
Alaska,HAINES,372,818,556,0,22,0,0,78,162,31
Alaska,HOONAH-ANGOON,229,530,384,0,19,0,0,6,121,24
Alaska,JUNEAU,2647,9477,4900,0,1048,0,0,173,3356,339
Alaska,KENAI PENINSULA,6580,31090,15289,0,1391,0,0,128,14282,1521
Alaska,KETCHIKAN GATEWAY,1693,3390,2048,0,333,0,0,26,983,123
Alaska,KODIAK ISLAND,1304,4619,2674,0,1178,0,0,126,640,110
Alaska,LAKE AND PENINSULA,169,287,177,0,41,0,0,2,67,19
Alaska,MATANUSKA SUSITNA,10532,68847,36092,0,6760,0,0,659,25336,2685
Alaska,NOME,881,754,497,0,38,0,0,11,208,41
Alaska,NORTH SLOPE,451,292,186,0,9,0,0,1,96,17
Alaska,NORTHWEST ARCTIC,667,236,166,0,27,0,0,0,43,16
Alaska,PETERSBURG,455,749,499,0,31,0,0,1,219,30
Alaska,PRINCE OF WALES-HYDER,585,1275,861,0,19,0,0,0,395,63
Alaska,SITKA,1053,2241,1300,174,284,0,0,22,462,79
Alaska,SKAGWAY,98,58,23,0,0,0,0,0,35,9
Alaska,SOUTHEAST FAIRBANKS,1074,5748,3267,0,380,0,0,1,2101,219
Alaska,VALDEZ CORDOVA,1302,3826,1912,0,174,0,0,6,1735,194
Alaska,WADE HAMPTON,342,400,195,0,0,0,0,0,205,25
Alaska,WRANGELL,294,1023,596,0,19,0,0,32,377,34
Alaska,YAKUTAT,98,151,117,0,4,0,0,0,29,5
Alaska,YUKON KOYUKUK,577,1590,744,0,105,0,0,1,740,81
Alabama,AUTAUGA,5846,39549,25678,0,4787,0,0,293,8791,1300
Alabama,BALDWIN,20718,75144,49368,0,4673,0,0,1540,19562,4073
Alabama,BARBOUR,2796,15798,9593,0,464,0,0,161,5579,596
Alabama,BIBB,1431,9131,4521,0,414,0,0,63,4134,524
