State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
Alaska,ALEUTIANS EAST,179,126,28,0,0,0,0,0,97,9
Alaska,ALEUTIANS WEST,387,179,122,0,8,0,0,0,49,24
Alaska,ANCHORAGE,31274,190835,81093,13678,19025,0,6550,1487,69002,7718
Alaska,BETHEL,1228,731,396,0,37,0,0,0,298,61
Alaska,BRISTOL BAY,170,311,190,0,0,0,0,9,112,23
Alaska,DENALI,307,886,574,0,43,0,0,7,263,32
Alaska,DILLINGHAM,355,336,248,0,20,0,0,0,68,19
Alaska,FAIRBANKS NORTH STAR,11727,56708,28387,0,7703,0,0,593,20025,2157
Alaska,HAINES,359,670,474,0,27,0,0,21,148,20
Alaska,HOONAH-ANGOON,277,365,310,0,0,0,0,1,53,18
Alaska,JUNEAU,2593,6859,3907,0,771,0,0,161,2021,284
Alaska,KENAI PENINSULA,6459,28022,12790,0,998,0,0,221,14013,1506
Alaska,KETCHIKAN GATEWAY,1690,2698,1542,0,295,0,0,94,766,102
Alaska,KODIAK ISLAND,1317,3741,2025,0,827,0,0,8,880,114
Alaska,LAKE AND PENINSULA,167,333,133,0,36,0,0,1,162,12
Alaska,MATANUSKA SUSITNA,10381,51511,26873,0,4502,0,0,515,19621,2460
Alaska,NOME,868,461,313,0,28,0,0,0,120,30
Alaska,NORTH SLOPE,449,375,168,0,14,0,0,4,189,17
Alaska,NORTHWEST ARCTIC,661,253,167,0,15,0,0,1,70,15
Alaska,PETERSBURG,430,531,404,0,0,0,0,1,126,19
Alaska,PRINCE OF WALES-HYDER,597,1180,627,0,22,0,0,7,524,75
Alaska,SITKA,1030,1904,1106,0,224,0,0,11,563,76
Alaska,SKAGWAY,107,138,68,0,0,0,0,1,69,7
Alaska,SOUTHEAST FAIRBANKS,1059,4574,2342,0,214,0,0,16,2003,211
Alaska,VALDEZ CORDOVA,1290,3269,1697,0,123,0,0,22,1426,198
Alaska,WADE HAMPTON,335,280,178,0,1,0,0,0,102,21
Alaska,WRANGELL,243,796,506,0,37,0,0,1,252,28
Alaska,YAKUTAT,98,164,107,0,9,0,0,0,48,5
Alaska,YUKON KOYUKUK,572,1124,619,0,85,0,0,0,419,63
Alabama,AUTAUGA,5880,30141,18891,0,3555,0,0,345,7350,1196
Alabama,BALDWIN,20596,63240,38748,0,3736,0,0,1523,19233,3854
Alabama,BARBOUR,2832,13492,7913,0,385,0,0,171,5024,607
Alabama,BIBB,1423,8680,4636,0,336,0,0,37,3672,506
Alabama,BLOUNT,4371,18181,10240,0,766,0,0,154,7022,966
Alabama,BULLOCK,1048,6387,2802,0,149,0,0,18,3418,278
Alabama,BUTLER,2002,9930,5312,0,508,0,0,54,4056,442
Alabama,CALHOUN,12600,65485,43411,0,2845,0,0,929,18300,3310
