State,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients **,Year
Nebraska,142443,944835,510696,17288,57685,0,29447,13957,315763,45488,2011
Nevada,242205,1326240,569349,112101,81288,0,16479,13963,533060,59643,2011
New Hampshire,126111,534091,249964,11,52051,0,7387,8381,216296,27312,2011
New Jersey,423334,1713913,846171,1263,195338,0,17448,53875,599818,77590,2011
New Mexico,172595,1168156,688460,5507,62984,0,12835,11849,386521,48020,2011
New York,913489,4981959,1846903,87729,474458,0,132186,97495,2343187,230507,2011
North Carolina,760544,4246209,2422948,13877,360492,0,88175,51104,1309614,190560,2011
North Dakota,55471,295831,151012,3974,20258,0,7140,4390,109057,18036,2011
Ohio,867240,5732614,1693703,49217,257161,0,1981183,62943,1688407,213872,2011
Oklahoma,319528,2334304,1478415,2559,119191,0,115283,19370,599485,86408,2011
Oregon,327288,1956119,1054578,14441,113553,0,40952,23491,709105,90719,2011
Pennsylvania,933404,4096420,1776407,67271,298989,0,173824,81987,1697942,233142,2011
Rhode Island,68552,386929,175943,4029,26384,0,16274,5710,158590,19724,2011
South Carolina,403975,2406603,1328373,27706,201598,0,54408,28267,766252,114981,2011
South Dakota,70743,510998,219114,212,22974,0,10927,5170,252601,29283,2011
Tennessee,489083,2770480,1454542,14852,190010,0,68073,30323,1012681,128902,2011
Texas,1683237,11331652,5426288,84375,986466,1391866,228122,107458,3107076,405765,2011
Utah,151955,778187,336781,12674,67203,0,49687,12206,299636,32324,2011
Vermont,50913,259211,112409,7308,31987,0,4692,3817,98997,14765,2011
Virginia,823348,3974724,2046830,8157,755870,0,84828,59566,1019474,131322,2011
Washington,626515,2896511,1651780,29068,300313,0,62927,39992,812430,108414,2011
West Virginia,163496,1431396,595011,12326,79509,0,185323,9102,550124,58646,2011
Wisconsin,407624,2120184,969695,30027,134255,0,60607,34887,890714,115050,2011
Wyoming,55510,299488,126193,8746,13935,0,3026,2614,144974,18148,2011
Puerto Rico,109376,1219499,616396,40159,37263,0,23210,2425,500045,57996,2011
Guam,8061,50114,37939,0,7103,0,0,123,4949,0,2011
Alabama,418035,2415560,1362005,8670,174031,0,35910,27826,807118,106490,2012
Alaska,74513,410052,178264,953,53712,0,5961,4201,166961,16704,2012
Arizona,531910,2712810,1179562,22330,306312,0,109262,36129,1059215,132810,2012
Arkansas,252279,1674467,802324,24559,73423,0,34796,15168,724198,86814,2012
California,1844803,10274754,4219749,121381,1393887,0,181161,164331,4194246,431268,2012
Colorado,395613,2111996,1011092,71072,284980,0,65167,29157,650528,85700,2012
Connecticut,215316,889948,309790,2778,74104,0,14171,24520,464585,51508,2012
Delaware,78687,309215,145450,1293,29797,0,4464,5725,122487,14501,2012
District Of Columbia,31839,2099018,66819,259398,22122,0,1582239,3618,164821,8710,2012
Florida,1543496,8889429,4067030,230489,782267,0,155450,132383,3521811,471492,2012
Georgia,776205,3928851,2090187,31441,388892,0,109235,48953,1260142,172624,2012
Hawaii,116844,607054,268665,1605,132202,0,14112,13187,177283,22169,2012
Idaho,138320,635946,287723,5144,48246,0,7549,7882,279402,39283,2012
Illinois,764203,3237715,1180084,30303,280998,0,55509,67099,1623723,178075,2012
Indiana,498944,2001898,873835,14324,131325,0,44156,24296,913962,126530,2012
Iowa,238236,994001,425818,16,67379,0,10315,18484,471990,71887,2012
Kansas,226916,1042004,458118,796,87107,0,26874,16196,452914,58197,2012
Kentucky,342370,1904184,946643,17729,119126,0,36018,19410,765257,99966,2012
Louisiana,319349,1774088,873881,74955,109907,0,26676,19162,669506,85943,2012
Maine,130196,776817,420454,272,37663,0,19619,8176,290632,39400,2012
Maryland,450401,1991533,825856,14182,273254,0,28640,36019,813581,77720,2012
Massachusetts,388539,1978766,810371,27241,153620,0,33944,39935,913653,82303,2012
Michigan,680417,2768689,1391510,10063,171896,0,50492,43063,1101665,142260,2012
Minnesota,369295,1978159,863698,3139,133639,0,81451,31132,865099,112407,2012
Mississippi,227335,1276247,581099,14503,78967,0,29032,11741,560906,69060,2012
Missouri,505729,2527524,1153182,23204,161337,0,145835,31630,1012336,135475,2012
Montana,102246,537303,258791,34,34722,0,7513,7935,228308,33912,2012
Nebraska,141102,887641,427268,13127,58708,0,34294,11914,342330,46798,2012
Nevada,228393,1295319,516007,35326,85701,0,14176,12825,631285,61534,2012
New Hampshire,113101,516990,221888,379,51111,0,6255,8564,228792,28341,2012
New Jersey,441820,1633179,774174,1809,164539,0,16111,47093,629453,77860,2012
New Mexico,172085,1129055,596324,7512,63130,0,16279,12451,433359,49031,2012
New York,918093,4768842,1733092,34491,414224,0,126471,92740,2367824,231781,2012
North Carolina,771654,4193637,2285260,20702,344205,0,93656,48884,1400930,197386,2012
North Dakota,56408,279238,127968,6643,19458,0,6742,3589,114838,18160,2012
Ohio,899615,5805377,1583125,25262,268769,0,2051087,58438,1818697,218955,2012
Oklahoma,342816,2215693,1331604,4315,121712,0,113146,18439,626477,89052,2012
Oregon,328138,1915327,924333,27502,120664,0,36216,22224,784387,93529,2012
Pennsylvania,980529,4075364,1720685,61840,296410,0,166462,75898,1754069,231875,2012
Rhode Island,71457,425789,167869,22648,26971,0,19058,6527,182716,19991,2012
South Carolina,421525,2402619,1301455,10671,200887,0,59585,28335,801687,119403,2012
South Dakota,75930,489297,187591,1537,28302,0,10485,6004,255378,29749,2012
Tennessee,525594,2792092,1399741,13760,197153,0,65267,31117,1085053,131530,2012
Texas,1675689,11164622,4959438,66077,979947,1588712,213675,107047,3249727,417639,2012
Utah,151786,770753,295027,14065,79200,0,50590,10753,321117,33131,2012
Vermont,49905,241641,105307,6916,16312,0,4392,3488,105226,14912,2012
Virginia,837051,3852375,1904164,13183,744302,0,67170,56249,1067307,135910,2012
Washington,607501,2813701,1448669,50463,310749,0,63014,42834,897973,113997,2012
West Virginia,175497,1374658,566535,9547,42877,0,204801,10573,540324,58621,2012
Wisconsin,418461,2034321,861184,12941,120359,0,64266,33564,942007,116497,2012
Wyoming,56434,281753,110732,3705,13229,0,1622,3911,148555,18336,2012
Puerto Rico,102921,1243966,604034,62023,43296,0,24208,2268,508137,58201,2012
Guam,8913,53350,37658,0,7485,0,0,883,7324,0,2012
Alabama,414963,2824088,1580861,1922,189414,0,33885,29857,988150,108175,2013
Alaska,74671,501604,211260,616,61850,0,6686,3441,217751,17304,2013
Arizona,527400,3220905,1409346,21201,343820,0,108885,36145,1301507,137362,2013
Arkansas,250095,1946615,924671,7938,79063,0,31331,13484,890127,86763,2013
California,1795455,12707536,5397860,145008,1599760,0,192392,162956,5209559,444432,2013
Colorado,390824,2594677,1212143,112614,324347,0,62854,32483,850235,90822,2013
Connecticut,207759,1078567,365638,8332,96416,0,13794,24195,570192,51360,2013
Delaware,78016,362617,169963,859,34331,0,3895,5595,147974,14676,2013
District Of Columbia,31166,2295599,78699,153310,31054,0,1825604,2785,204146,8800,2013
Florida,1520563,10430774,4728273,131870,892555,0,146088,139645,4392344,479193,2013
Georgia,774464,4670709,2482164,3359,453034,0,109242,48822,1574087,179821,2013
Hawaii,116947,754680,337919,1690,142729,0,16013,13109,243220,23825,2013
Idaho,138108,746018,334504,11690,51513,0,7807,8006,332499,39928,2013
Illinois,744710,3854717,1450236,18558,311330,0,51835,65139,1957618,180384,2013
Indiana,490380,2477767,1092855,8783,150033,0,48931,27941,1149224,128499,2013
Iowa,233815,1192889,505601,79,74079,0,10585,18891,583653,72191,2013
Kansas,223708,1237985,529023,743,103950,0,27158,17340,559771,58097,2013
Kentucky,339334,2229580,1087772,7129,139199,0,37983,18871,938626,101096,2013
Louisiana,315342,2202388,1016206,202777,120767,0,26501,19941,816195,86890,2013
Maine,127694,873125,467398,7,42577,0,18277,9459,335408,39358,2013
Maryland,443076,2453557,1047226,7521,333943,0,24725,42512,997630,82183,2013
Massachusetts,374809,2371613,985894,20552,192975,0,32546,41235,1098412,84345,2013
Michigan,660773,3361961,1675388,6185,208565,0,51291,43961,1376571,146804,2013
Minnesota,360754,2336965,986609,15600,133629,0,82027,33370,1085731,113577,2013
Mississippi,225469,1470950,666715,12230,88010,0,29313,13394,661288,69676,2013
Missouri,497874,3025845,1386280,34423,189473,0,146126,32796,1236747,137008,2013
Montana,101597,646509,290869,8,38237,0,7765,7072,302558,35189,2013
Nebraska,138773,1023761,487975,9837,63597,0,36470,12589,413294,47275,2013
Nevada,225933,1573091,641969,19641,95562,0,13505,14516,787899,65443,2013
New Hampshire,110778,613805,268735,1282,50861,0,6142,8473,278312,28604,2013
New Jersey,425094,1927021,906744,6578,196113,0,15868,51994,749724,77179,2013
New Mexico,170699,1312943,686222,26571,67315,0,12586,12750,507499,49981,2013
New York,885796,5621911,2063566,17521,493102,0,120558,94116,2833048,231161,2013
North Carolina,769384,5067823,2712319,21238,399186,0,91538,53714,1789827,205006,2013
North Dakota,56213,334755,149596,2623,22770,0,6479,3770,149518,18526,2013
Ohio,877894,6643911,1837567,34987,296446,0,2202389,59096,2213426,223944,2013
Oklahoma,340395,2568390,1544376,5320,131030,0,121588,19958,746118,90731,2013
Oregon,322355,2283129,1100287,36702,128169,0,35298,23228,959445,96190,2013
Pennsylvania,953644,4782351,2029589,49407,359065,0,158258,82386,2103647,232054,2013
Rhode Island,69206,474338,193988,2867,35525,0,19476,5928,216555,20132,2013
South Carolina,420968,2876324,1557784,2557,223348,0,63246,28310,1001079,123070,2013
South Dakota,75687,564489,209347,1976,30364,0,10392,5461,306949,29744,2013
Tennessee,521267,3320710,1652616,6443,236754,0,63014,33644,1328239,135582,2013
Texas,1667740,12943393,6091910,30026,1118114,1385063,220626,110750,3986903,434255,2013
Utah,150771,887516,350923,6163,85974,0,53145,10033,381279,34062,2013
Vermont,48812,273966,118286,1105,20296,0,3992,3340,126949,14925,2013
Virginia,840398,4653545,2291200,22761,874229,0,61129,60779,1343447,142605,2013
Washington,602272,3384110,1788537,55674,343793,0,67749,41915,1086440,118461,2013
West Virginia,173389,1601256,625689,6525,44341,0,261560,9871,653270,58733,2013
Wisconsin,409419,2421849,972511,12224,133679,0,69991,34398,1199045,118371,2013
Wyoming,56518,343611,127557,7264,15751,0,1456,3131,188453,18583,2013
Puerto Rico,99928,1387777,697879,7756,46541,0,19912,2496,613193,58009,2013
Guam,9055,66330,46193,0,10629,0,0,495,9012,0,2013
Alabama,411717,3248127,1856515,9857,217278,0,37450,24418,1102610,111832,2015
Alaska,73276,584863,247524,40,72262,0,8107,2642,254288,19256,2015
Arizona,528486,3757596,1652047,19007,407882,0,79843,37466,1561352,147953,2015
Arkansas,247888,2174053,1037492,17026,88986,0,30086,14966,985497,86908,2015
California,1802446,14938931,6552100,158970,1786146,0,195904,168465,6077347,467539,2015
Colorado,409469,3482533,1490936,438518,391311,0,60068,36677,1065024,100614,2015
Connecticut,206549,1249124,435226,160,107651,0,15455,22613,668018,50584,2015
Delaware,77354,422278,204297,2646,36680,0,3328,4472,170854,15657,2015
District Of Columbia,29470,2960157,88498,163143,29182,0,2436002,3507,239825,8580,2015
Florida,1558441,12276149,5626995,125365,1021331,0,152603,135627,5214229,503251,2015
Georgia,752499,5705037,3112295,9538,508282,0,106659,53167,1915096,197458,2015
Hawaii,120482,888037,394010,3347,183257,0,16891,13611,276921,26450,2015
Idaho,132334,893404,405841,12262,56724,0,9580,8767,400229,42592,2015
Illinois,705582,4395048,1687260,13424,329365,0,49120,61784,2254094,181710,2015
