State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
Alaska,ALEUTIANS EAST,164,74,12,0,0,0,0,0,62,8
Alaska,ALEUTIANS WEST,390,386,74,0,13,0,0,275,25,13
Alaska,ANCHORAGE,30563,207629,84911,257,30233,0,5961,2056,84211,8219
Alaska,BETHEL,1027,942,509,0,66,0,0,6,362,51
Alaska,BRISTOL BAY,150,290,184,0,23,0,0,0,83,15
Alaska,DENALI,255,910,455,0,95,0,0,0,361,45
Alaska,DILLINGHAM,314,440,225,0,39,0,0,0,176,30
Alaska,FAIRBANKS N. STAR,12552,64533,30933,0,10627,0,0,790,22183,2310
Alaska,HAINES,296,927,530,0,35,0,0,5,357,34
Alaska,HOONAH-ANGOON,216,368,281,0,0,0,0,0,87,25
Alaska,JUNEAU,2412,9249,4234,0,1348,0,0,141,3527,407
Alaska,KENAI PENINSULA,5607,31386,13059,0,1131,0,0,361,16835,1566
Alaska,KETCHIKAN GATEWAY,1545,3272,2021,0,323,0,0,125,803,130
Alaska,KODIAK ISLAND,1400,4182,2191,0,1079,0,0,26,887,118
Alaska,LAKE AND PENINSULA,137,135,102,0,13,0,0,0,21,9
Alaska,MATANUSKA SUSITNA,10799,65981,29685,0,7634,0,0,360,28301,2901
Alaska,NOME,695,928,416,0,61,0,0,0,452,38
Alaska,NORTH SLOPE,392,528,167,0,12,0,0,1,348,19
Alaska,NORTHWEST ARCTIC,488,193,128,0,41,0,0,0,24,7
Alaska,PETERSBURG,436,1501,548,696,5,0,0,1,252,40
Alaska,PRINCE OF WALES-HYDER,586,1600,731,0,6,0,0,6,857,76
Alaska,SITKA,877,2050,1054,0,251,0,0,17,728,82
Alaska,SKAGWAY,93,124,28,0,0,0,0,0,96,15
Alaska,SOUTHEAST FAIRBANKS,772,4813,2735,0,367,0,0,1,1711,217
Alaska,VALDEZ CORDOVA,1144,4839,1743,0,197,0,0,28,2872,192
Alaska,WADE HAMPTON,285,444,217,0,15,0,0,0,212,23
Alaska,WRANGELL,291,712,416,0,14,0,0,2,281,38
Alaska,YAKUTAT,94,181,94,0,0,0,0,0,87,6
Alaska,YUKON KOYUKUK,535,1435,584,0,87,0,0,2,763,70
Alabama,AUTAUGA,6008,35671,21903,0,4795,0,0,381,8592,1290
Alabama,BALDWIN,20212,74768,45432,0,5913,0,0,1548,21875,4121
Alabama,BARBOUR,2405,13369,8550,0,420,0,0,350,4049,591
Alabama,BIBB,1322,9672,5472,0,396,0,0,31,3774,501
Alabama,BLOUNT,4826,16876,8205,0,555,0,0,179,7937,1009
Alabama,BULLOCK,875,7949,4106,0,222,0,0,58,3562,235
Alabama,BUTLER,1928,11145,6006,0,589,0,0,38,4512,432
Alabama,CALHOUN,12122,73127,50171,0,3816,0,0,561,18580,3306
Alabama,CHAMBERS,3178,18742,11614,0,775,0,0,137,6216,846
Alabama,CHEROKEE,2220,9496,5940,0,256,0,0,106,3195,499
Alabama,CHILTON,3371,23464,13639,0,813,0,0,365,8646,892
Alabama,CHOCTAW,1050,7400,4953,0,226,0,0,16,2205,339
Alabama,CLARKE,1854,11589,7102,0,470,0,0,183,3834,528
Alabama,CLAY,1261,5938,3920,0,123,0,0,58,1838,304
Alabama,CLEBURNE,1044,4938,3160,0,204,0,0,12,1562,264
Alabama,COFFEE,7028,49956,35122,0,5138,0,0,920,8776,1692
Alabama,COLBERT,4920,27441,18687,0,1402,0,0,147,7205,1339
Alabama,CONECUH,1272,6297,4508,0,247,0,0,6,1536,290
Alabama,COOSA,1062,5997,4119,0,192,0,0,58,1627,242
Alabama,COVINGTON,3656,20034,13552,0,779,0,0,249,5454,838
Alabama,CRENSHAW,929,6253,3996,0,384,0,0,8,1865,260
Alabama,CULLMAN,7214,32654,19362,0,1701,0,0,343,11248,1417
Alabama,DALE,7106,47701,33059,0,4125,0,0,715,9801,1937
Alabama,DALLAS,2992,21743,11150,0,973,0,0,184,9437,1002
Alabama,DE KALB,4475,21575,13350,0,1048,0,0,106,7072,1014
Alabama,ELMORE,9259,54382,34496,0,5200,0,0,963,13723,2054
Alabama,ESCAMBIA,3159,16005,10722,0,362,0,0,143,4778,772
Alabama,ETOWAH,9307,54334,33912,0,1699,0,0,748,17975,2512
Alabama,FAYETTE,1383,10993,5059,0,309,0,0,76,5549,549
Alabama,FRANKLIN,1870,9804,5970,0,481,0,0,144,3210,405
Alabama,GENEVA,2732,19318,14391,0,612,0,0,259,4057,871
Alabama,GREENE,565,5114,2756,0,96,0,0,4,2258,250
Alabama,HALE,980,11331,4913,0,282,0,0,9,6127,497
Alabama,HENRY,1814,9843,7007,0,487,0,0,83,2266,452
Alabama,HOUSTON,9117,51561,34425,0,3828,0,0,552,12756,2748
Alabama,JACKSON,4133,17159,10077,0,696,0,0,346,6040,809
Alabama,JEFFERSON,50787,324248,149414,565,18351,0,5947,3123,146848,15087
Alabama,LAMAR,1267,7950,4683,0,310,0,0,37,2920,447
Alabama,LAUDERDALE,7723,34378,22715,0,2185,0,0,460,9019,1770
Alabama,LAWRENCE,2294,7658,4489,0,235,0,0,141,2793,459
Alabama,LEE,10660,72647,44053,0,8677,0,0,671,19246,2616
Alabama,LIMESTONE,8467,31201,18367,0,4548,0,0,317,7969,1377
Alabama,LOWNDES,744,5269,2785,0,273,0,0,28,2184,261
Alabama,MACON,1722,26947,10318,0,783,0,869,138,14839,924
Alabama,MADISON,38334,167671,108553,0,23083,0,0,2886,33149,6832
Alabama,MARENGO,1482,12536,7330,0,334,0,0,121,4752,643
Alabama,MARION,2399,11487,6099,0,407,0,0,226,4754,648
Alabama,MARSHALL,7455,34999,20844,0,1570,0,0,496,12089,1695
Alabama,MOBILE,33910,169037,93373,3,15068,0,172,1742,58680,8635
Alabama,MONROE,1569,8345,5572,0,346,0,0,58,2369,419
Alabama,MONTGOMERY,20273,196931,92817,1397,16586,0,26800,1475,57856,6365
Alabama,MORGAN,9911,40938,28076,0,3080,0,0,453,9330,1800
Alabama,PERRY,729,5595,3054,0,131,0,0,20,2390,206
Alabama,PICKENS,1585,14904,7518,0,319,0,0,111,6957,728
Alabama,PIKE,2278,17187,9488,0,2956,0,0,160,4583,642
Alabama,RANDOLPH,1769,9673,6123,0,422,0,0,67,3060,488
Alabama,RUSSELL,5405,51575,31693,3,7656,0,618,192,11413,1972
Alabama,SAINT CLAIR,7846,31714,16708,0,1350,0,0,231,13425,1546
Alabama,SHELBY,14464,57512,31838,0,5254,0,0,1467,18953,2710
Alabama,SUMTER,777,6386,3617,0,315,0,0,101,2353,291
Alabama,TALLADEGA,7131,33725,18194,0,1658,0,0,799,13073,1778
Alabama,TALLAPOOSA,3746,25846,14659,0,720,0,0,296,10171,1178
Alabama,TUSCALOOSA,14267,122154,41753,6702,5880,0,1504,1117,65198,5072
Alabama,WALKER,6228,39673,23896,0,972,0,0,202,14603,1778
Alabama,WASHINGTON,1600,7495,4088,0,254,0,0,76,3076,322
Alabama,WILCOX,668,5249,2669,0,321,0,0,19,2239,189
Alabama,WINSTON,1895,10992,6413,0,371,0,0,511,3696,505
Arkansas,ARKANSAS,1539,8656,4275,0,307,0,0,53,4020,484
Arkansas,ASHLEY,1758,9258,5119,0,269,0,0,38,3832,517
Arkansas,BAXTER,5903,27388,15359,0,891,0,0,246,10892,2034
Arkansas,BENTON,18651,83594,39347,0,3920,0,0,878,39448,6132
Arkansas,BOONE,3646,21031,11936,0,745,0,0,108,8243,1389
Arkansas,BRADLEY,1089,4901,2602,0,102,0,0,41,2156,261
Arkansas,CALHOUN,512,2572,969,0,44,0,0,4,1557,131
Arkansas,CARROLL,2733,12878,6862,0,241,0,0,105,5670,1002
Arkansas,CHICOT,949,6900,3379,0,211,0,0,106,3204,337
Arkansas,CLARK,1630,10318,4779,0,615,0,0,29,4895,501
Arkansas,CLAY,1513,10188,5372,0,149,0,0,26,4641,594
Arkansas,CLEBURNE,3218,20575,10580,0,362,0,0,215,9418,1051
Arkansas,CLEVELAND,739,4990,2656,0,138,0,0,36,2160,265
Arkansas,COLUMBIA,1619,9354,5229,0,387,0,0,125,3613,466
Arkansas,CONWAY,1818,12289,6242,0,360,0,0,22,5665,676
Arkansas,CRAIGHEAD,7276,33542,18756,0,2479,0,0,609,11699,1991
Arkansas,CRAWFORD,5723,35095,20347,0,1386,0,0,175,13187,2341
Arkansas,CRITTENDEN,3730,20032,8418,0,1127,0,0,114,10372,1062
Arkansas,CROSS,1126,7426,3865,0,294,0,0,21,3245,408
Arkansas,DALLAS,745,3556,1716,0,143,0,0,23,1674,212
Arkansas,DESHA,1029,7556,3571,0,164,0,0,38,3783,360
Arkansas,DREW,1578,8713,4176,0,397,0,0,146,3994,471
Arkansas,FAULKNER,9707,58662,27487,0,4214,0,0,590,26372,2824
Arkansas,FRANKLIN,1733,11177,6359,0,527,0,0,40,4252,706
Arkansas,FULTON,1220,8021,4878,0,213,0,0,18,2912,501
Arkansas,GARLAND,10528,63662,32506,0,1947,0,0,1330,27878,3715
Arkansas,GRANT,1482,11204,4862,0,264,0,0,55,6024,504
Arkansas,GREENE,3080,22230,13000,0,876,0,0,345,8009,1277
Arkansas,HEMPSTEAD,1468,8082,4373,0,199,0,0,132,3378,432
Arkansas,HOT SPRING,3177,17049,8138,0,394,0,0,66,8451,1002
Arkansas,HOWARD,977,5822,2870,0,146,0,0,8,2798,304
Arkansas,INDEPENDENCE,3196,17878,9301,0,657,0,0,444,7476,904
Arkansas,IZARD,1465,8549,4776,0,167,0,0,44,3562,560
Arkansas,JACKSON,1223,7872,3875,0,229,0,0,46,3722,395
Arkansas,JEFFERSON,6480,52018,26537,0,2146,0,0,314,23021,2413
Arkansas,JOHNSON,1876,13026,7216,0,356,0,0,115,5339,739
Arkansas,LAFAYETTE,673,2838,1467,0,14,0,0,35,1321,201
Arkansas,LAWRENCE,1396,7601,4882,0,293,0,0,17,2409,433
Arkansas,LEE,751,3172,1497,0,31,0,0,7,1636,166
Arkansas,LINCOLN,1236,5459,2884,0,240,0,0,20,2315,284
Arkansas,LITTLE RIVER,1063,5974,3270,0,202,0,0,85,2416,370
Arkansas,LOGAN,2141,12816,7513,0,455,0,0,85,4762,839
Arkansas,LONOKE,7493,59111,34946,0,5427,0,0,346,18393,2284
Arkansas,MADISON,1113,8097,3095,0,189,0,0,49,4763,537
Arkansas,MARION,2670,12533,6737,0,214,0,0,83,5500,863
Arkansas,MILLER,3671,16730,9722,0,451,0,0,141,6416,988
Arkansas,MISSISSIPPI,3415,19281,11805,0,563,0,0,84,6829,957
Arkansas,MONROE,734,5456,2185,0,77,0,0,56,3138,265
Arkansas,MONTGOMERY,942,6881,3582,0,70,0,0,99,3129,438
Arkansas,NEVADA,853,4800,2523,0,260,0,0,2,2016,247
Arkansas,NEWTON,752,4851,2297,0,98,0,0,50,2406,319
Arkansas,OUACHITA,2495,15200,7164,0,410,0,0,20,7606,785
Arkansas,PERRY,973,8344,3635,0,117,0,0,2,4590,376
Arkansas,PHILLIPS,1386,10087,4650,0,234,0,0,55,5148,519
Arkansas,PIKE,999,4854,2270,0,147,0,0,3,2435,324
Arkansas,POINSETT,1895,8870,4801,0,396,0,0,16,3657,601
Arkansas,POLK,2113,17157,9307,0,375,0,0,44,7430,1088
Arkansas,POPE,5230,28265,13718,0,1879,0,0,427,12241,1573
Arkansas,PRAIRIE,854,5125,2452,0,91,0,0,17,2565,263
Arkansas,PULASKI,32808,346423,135217,1269,17692,0,30455,2777,159012,12448
Arkansas,RANDOLPH,1559,11794,6311,0,398,0,0,178,4907,627
Arkansas,SAINT FRANCIS,1821,10236,5134,0,317,0,0,20,4765,553
Arkansas,SALINE,10556,56087,25927,0,2974,0,0,935,26251,2990
Arkansas,SCOTT,1020,6900,3754,0,230,0,0,42,2874,421
Arkansas,SEARCY,844,6619,3898,0,101,0,0,20,2600,349
Arkansas,SEBASTIAN,10647,59240,32892,109,3150,0,854,973,21261,4143
Arkansas,SEVIER,1121,5847,3345,0,104,0,0,3,2394,320
Arkansas,SHARP,2162,14980,8870,0,318,0,0,88,5704,778
Arkansas,STONE,1193,9517,5920,0,122,0,0,127,3348,501
Arkansas,UNION,3569,18009,8297,0,509,0,0,83,9119,1039
Arkansas,VAN BUREN,1963,13764,7026,0,275,0,0,66,6397,755
Arkansas,WASHINGTON,13238,114029,35530,23180,5359,0,3487,953,45519,5441
Arkansas,WHITE,6698,47007,24734,0,2244,0,0,416,19614,2061
Arkansas,WOODRUFF,589,3140,1827,0,32,0,0,2,1279,152
Arkansas,YELL,1505,11308,5506,0,300,0,0,35,5466,555
Arizona,APACHE,4436,21786,12696,0,1307,0,0,115,7669,1060
Arizona,COCHISE,22106,141447,80056,0,13201,0,0,1171,47019,6612
Arizona,COCONINO,9363,32646,16437,0,4711,0,0,595,10903,1717
Arizona,GILA,6137,26455,14611,0,512,0,0,378,10954,1706
Arizona,GRAHAM,2900,13080,6859,0,440,0,0,69,5712,706
Arizona,GREENLEE,1150,3460,1484,0,43,0,0,28,1905,232
Arizona,LA PAZ,2810,11855,5494,0,128,0,0,138,6095,746
Arizona,MARICOPA,276031,1338616,563474,11001,199456,0,106760,20280,437645,57618
Arizona,MOHAVE,25655,110957,57877,0,2693,0,0,910,49477,7850
Arizona,NAVAJO,7456,35317,20526,0,1255,0,0,209,13326,2058
Arizona,PIMA,90717,561556,228942,8249,47094,0,1775,7779,267717,28090
Arizona,PINAL,36079,117666,49474,0,8664,0,0,1335,58193,7929
Arizona,SANTA CRUZ,2064,11093,5898,0,678,0,0,141,4377,600
Arizona,YAVAPAI,26248,219016,76511,3080,18047,0,727,2016,118633,12166
Arizona,YUMA,18757,67861,39222,0,8085,0,0,964,19590,3720
California,ALAMEDA,60309,351994,117968,224,32894,0,34828,5932,160147,12590
California,ALPINE,148,284,124,0,0,0,0,3,157,19
California,AMADOR,4361,14669,7007,0,770,0,0,522,6370,811
California,BUTTE,17800,88343,43507,0,6666,0,0,1042,37128,4998
California,CALAVERAS,5593,21994,10496,0,740,0,0,358,10401,1509
California,COLUSA,1183,4759,2327,0,261,0,0,77,2095,230
California,CONTRA COSTA,55291,257285,101569,11777,24726,0,5512,6083,107618,10931
California,DEL NORTE,2539,17002,10336,0,307,0,0,26,6333,840
California,EL DORADO,15224,61319,33079,0,3764,0,0,1096,23379,3079
California,FRESNO,44206,273759,105373,3919,24010,0,2844,2852,134761,13087
California,GLENN,1849,7161,3633,0,325,0,0,155,3047,467
California,HUMBOLDT,10366,71587,31809,0,2331,0,0,889,36558,4498
California,IMPERIAL,7589,38893,15722,0,8526,0,0,561,14085,1763
California,INYO,1552,6046,3185,0,221,0,0,126,2514,335
California,KERN,47015,183088,99926,0,24685,0,0,2310,56167,8349
California,KINGS,12006,49210,24494,0,10753,0,0,487,13475,1985
California,LAKE,6658,43085,19126,0,924,0,0,264,22771,2356
California,LASSEN,3559,12805,6459,0,588,0,0,150,5608,819
California,LOS ANGELES,319623,1810193,589977,22738,235382,0,39659,28638,893798,71102
California,MADERA,8313,45010,18947,0,2710,0,0,401,22951,2438
California,MARIN,12859,52028,19404,0,3084,0,0,2260,27280,2078
